Wall time,Step,Value
1618423508.0464659,1027,19345.0
1618423554.5331259,1031,25424.0
1618423566.0235004,1032,24108.0
1618423601.0539165,1035,22076.0
1618423624.7432973,1037,20568.0
1618423703.6499317,1044,20741.0
1618423835.5998807,1055,21275.0
1618423858.7965221,1057,19993.0
1618423929.1839125,1063,21739.0
1618423940.8367553,1064,20572.0
1618423961.6598973,1066,19759.0
1618423987.1162903,1068,19386.0
1618424034.2010674,1072,28608.0
1618424081.4525273,1076,23154.0
1618424105.572822,1078,22013.0
1618424164.138877,1083,19784.0
1618424175.63823,1084,24148.0
1618424186.6617882,1085,22725.0
1618424282.1237187,1093,19833.0
1618424352.140976,1099,18582.0
1618424398.7451785,1103,23496.0
1618424410.218571,1104,21527.0
1618424422.0323288,1105,21460.0
1618424526.9610996,1114,19506.0
1618424550.300945,1116,18578.0
1618424585.9110641,1119,29507.0
1618424656.0085316,1125,23838.0
1618424667.44685,1126,23060.0
1618424747.3724551,1133,24129.0
1618424770.7926424,1135,22248.0
1618424998.5238047,1155,19509.0
1618425010.201053,1156,19222.0
1618425056.7362795,1160,18697.0
1618425068.4719567,1161,20941.0
1618425079.9658222,1162,19943.0
1618425283.7321715,1180,19561.0
1618425319.0243006,1183,22040.0
1618425343.004629,1185,20472.0
1618425424.5810902,1192,18445.0
1618425435.841027,1193,18566.0
1618425501.385245,1199,17818.0
1618425525.0870996,1201,22207.0
1618425583.1514602,1206,19178.0
1618425606.222804,1208,18571.0
1618425629.9312294,1210,18506.0
1618425676.0136778,1214,17908.0
1618425785.228565,1224,22434.0
1618425877.9429624,1232,19035.0
1618425889.317239,1233,24368.0
1618425901.0658696,1234,23005.0
1618425924.5438104,1236,26287.0
1618425953.3212862,1239,23373.0
1618426010.666977,1244,20752.0
1618426045.7156198,1247,19760.0
1618426116.273591,1253,25207.0
1618426139.4937654,1255,23597.0
1618426162.9852006,1257,22653.0
1618426174.6559422,1258,21804.0
1618426205.1742177,1261,20477.0
1618426228.4475796,1263,20221.0
1618426263.4610443,1266,20868.0
1618426357.129518,1274,21117.0
1618426439.5184991,1281,18601.0
1618426510.7167103,1287,17895.0
1618426558.5454314,1291,17932.0
1618426570.1015651,1292,17870.0
1618426582.262351,1293,18037.0
1618426594.309441,1294,17585.0
1618426664.567821,1300,26112.0
1618426697.1517475,1303,23014.0
1618426779.465828,1310,19099.0
1618426802.6903458,1312,19109.0
1618426837.5909479,1315,22217.0
1618426849.6968436,1316,21246.0
1618426884.3432505,1319,19702.0
1618426953.8429112,1325,18216.0
1618426977.4860005,1327,18110.0
1618427012.0982678,1330,17675.0
1618427048.1017718,1333,17678.0
1618427059.7815216,1334,17500.0
1618427083.1277864,1336,17220.0
1618427094.5712621,1337,17221.0
1618427165.1218874,1343,17166.0
1618427299.6750445,1355,19292.0
1618427428.1874826,1366,17142.0
1618427472.3148232,1370,17299.0
1618427576.3741748,1379,21529.0
1618427634.93286,1384,19546.0
1618427646.7978568,1385,19075.0
1618427681.7776608,1388,18375.0
1618427692.701995,1389,18446.0
1618427714.084908,1391,18100.0
1618427725.5483208,1392,17846.0
1618427760.7987595,1395,17649.0
1618427955.7279582,1412,19228.0
1618427966.6625648,1413,19322.0
1618427978.012471,1414,18986.0
1618428015.2488418,1419,18072.0
1618428036.8610044,1422,17853.0
1618428066.49228,1426,20207.0
1618428073.9154608,1427,19611.0
1618428081.5760474,1428,19188.0
1618428111.8296475,1432,18091.0
1618428119.0304222,1433,17903.0
1618428141.5061305,1436,17437.0
1618428171.332769,1440,17548.0
1618428186.1950226,1442,17071.0
1618428291.1609046,1456,16688.0
1618428356.8715193,1465,16633.0
1618428364.0058842,1466,16591.0
1618428441.2400448,1477,19507.0
1618428499.0174305,1485,20758.0
1618428506.1476429,1486,20650.0
1618428527.5474598,1489,19621.0
1618428541.7985702,1491,18799.0
1618428548.9422445,1492,18735.0
1618428606.769984,1500,24678.0
1618428613.7445512,1501,24195.0
1618428621.2944214,1502,23343.0
1618428650.3838863,1506,21118.0
1618428664.6084368,1508,20375.0
1618428679.2119098,1510,19679.0
1618428737.0188854,1518,26832.0
1618428772.859999,1523,21843.0
1618428780.1394708,1524,21789.0
1618428801.7115526,1527,20144.0
1618428851.9732585,1534,18440.0
1618428938.2525976,1546,18438.0
1618428974.0899034,1551,17909.0
1618428981.4397411,1552,18154.0
1618428996.094038,1554,18054.0
1618429003.2315607,1555,17720.0
1618429046.7798676,1561,22061.0
1618429097.499488,1568,19057.0
1618429104.6431189,1569,18856.0
1618429169.8395112,1578,17541.0
1618429199.4757867,1582,17373.0
1618429213.7352657,1584,16904.0
1618429243.1333303,1588,16823.0
1618429308.388405,1597,16462.0
1618429358.7372587,1604,22562.0
1618429365.8595927,1605,22233.0
1618429402.1856234,1610,20434.0
1618429460.2464678,1618,18813.0
1618429474.6094258,1620,18830.0
1618429524.9573908,1627,17964.0
1618429532.069789,1628,18355.0
1618429560.6361728,1632,18000.0
1618429597.2241867,1637,17472.0
1618429618.8827524,1640,17779.0
1618429633.2408953,1642,23731.0
1618429654.8133872,1645,21539.0
1618429676.366221,1648,20161.0
1618429705.0306594,1652,19133.0
1618429763.4946766,1660,17966.0
1618429822.1228256,1668,17341.0
1618429836.9507809,1670,17214.0
1618429851.3702488,1672,26289.0
1618429873.4892302,1675,23669.0
1618429880.6989129,1676,23551.0
1618429926.223546,1682,21222.0
1618429933.3676531,1683,20641.0
1618429993.5041697,1691,18999.0
